ticker,empresa,setor,subsetor,roic_clean,earnings_yield_clean,rank_roic,rank_ey,magic_formula_rank,cotacao,vol_med_2m,pl,pvp,div_yield,lpa,30_dias,12_meses,marg_liquida,data_execucao
MNDL3,MUNDIAL S/A ON,"Tecidos, Vestuário e Calçados",Acessórios,6.7,13.193,306,173,479,18.2,20273.0,-22.57,1.2,0.0,-0.81,-2.15,28.99,-0.8,2025-09-01
SBFG3,GRUPO SBF ON,Comércio,Produtos Diversos,8.4,11.574,276,204,480,11.39,21851300.0,7.27,0.96,4.8,1.57,3.64,-30.69,5.2,2025-09-01
NETC3,NET SERVIÇOS DE COMUNICAÇÃO S.A. ON,,,10.9,8.23,205,277,482,38.5,0.0,123.1,2.12,0.0,0.31,0.0,0.0,1.6,2025-09-01
SUBA3,ON,,,19.1,0.942,84,398,482,84.0,0.0,61.95,8.39,0.0,1.36,0.0,0.0,13.0,2025-09-01
NETC4,NET SERVIÇOS DE COMUNICAÇÃO S.A. PN,,,10.9,7.954999999999999,205,285,490,40.0,0.0,127.89,2.2,0.0,0.31,0.0,0.0,1.6,2025-09-01
LATM11,LATAM AIRLN DR3 ED,Transporte,Transporte Aéreo,6.5,12.920000000000002,310,181,491,28.65,0.0,-0.68,0.02,0.0,-41.89,0.0,0.0,-0.4,2025-09-01
USIM5,USIMINAS PNA N1,Siderurgia e Metalurgia,Siderurgia,3.4,16.367,372,121,493,4.36,59962300.0,14.53,0.23,0.0,0.3,-0.46,-30.02,2.0,2025-09-01
USIM3,USIMINAS ON N1,Siderurgia e Metalurgia,Siderurgia,3.4,16.181,372,123,495,4.42,2048590.0,14.73,0.23,0.0,0.3,-4.12,-27.42,2.0,2025-09-01
MDIA3,M.DIASBRANCO ON NM,Alimentos Processados,Alimentos Diversos,9.6,9.141,239,256,495,29.76,17810000.0,17.19,1.24,2.1,1.73,22.54,12.33,6.0,2025-09-01
VITT3,VITTIA ON NM,Químicos,Fertilizantes e Defensivos,9.9,8.977,235,261,496,5.05,809595.0,11.25,1.26,6.1,0.45,3.27,-14.23,8.4,2025-09-01
CRTP3,CELULAR CRT PARTICIPAÇÕES S/A ON,,,12.4,5.5489999999999995,174,329,503,86.5,0.0,22.26,2.38,0.0,3.89,0.0,0.0,10.9,2025-09-01
SMFT3,SMART FIT ON NM,Viagens e Lazer,Atividades Esportivas,9.9,8.453,235,271,506,24.61,91832400.0,27.71,2.61,2.3,0.89,18.77,14.73,8.3,2025-09-01
ALLD3,ALLIED ON NM,Comércio,Eletrodomésticos,6.0,12.392,320,190,510,7.94,928917.0,6.74,0.5,25.4,1.18,23.37,29.27,2.1,2025-09-01
SOMA3,GRUPO SOMA ON NM,Comércio,"Tecidos, Vestuário e Calçados",7.8,10.823,291,222,513,5.94,0.0,-2.81,0.8,0.0,-2.11,0.0,-14.66,-30.8,2025-09-01
EBTP4,EMBRATEL PARTICIPAÇÕES SA PN,,,6.0,12.005,320,195,515,10.0,0.0,-42.66,1.14,0.0,-0.23,0.0,0.0,-1.0,2025-09-01
EBTP3,EMBRATEL PARTICIPAÇÕES SA ON,,,6.0,11.82,320,198,518,10.21,0.0,-43.56,1.17,0.0,-0.23,0.0,0.0,-1.0,2025-09-01
TMGC12,TELEMIG CELULAR PNF,,,8.7,9.141,262,256,518,550.0,0.0,8.71,1.12,0.0,63.11,0.0,0.0,9.2,2025-09-01
TMAR6,TELEMAR PNB,,,5.8,12.063,328,194,522,42.01,0.0,112.59,0.71,0.0,0.37,0.0,0.0,-0.4,2025-09-01
TMAR5,TELEMAR PNA,,,5.8,11.976,328,196,524,42.67,0.0,114.35,0.72,0.0,0.37,0.0,0.0,-0.4,2025-09-01
TSEP4,TELE SUDESTE CELULAR PART SA PN,,,9.1,8.137,246,280,526,29.01,0.0,23.97,1.3,0.0,1.21,0.0,0.0,5.3,2025-09-01
UOLL4,UOL PN,Programas e Serviços,Programas e Serviços,10.6,6.064,211,316,527,19.62,0.0,43.52,2.35,0.0,0.45,0.0,0.0,4.7,2025-09-01
AMOB3,AUTOMOB ON NM,Automóveis e Motocicletas,Automóveis e Motocicletas,5.8,11.696,328,202,530,12.22,834866.0,-3.97,0.21,0.0,-3.08,10.09,-48.0,-0.7,2025-09-01
AZZA3,AZZAS 2154 ON,Comércio,"Tecidos, Vestuário e Calçados",7.1,10.0,300,234,534,34.74,72374600.0,9.03,0.86,1.7,3.85,-2.63,-28.07,6.9,2025-09-01
EBCO4,EMBRACO PN,,,5.0,12.107,343,193,536,1.0,0.0,11.46,0.8,0.0,0.09,0.0,0.0,2.9,2025-09-01
CAML3,CAMIL ON NM,Alimentos Processados,Alimentos Diversos,6.8,10.07,304,233,537,4.89,5901700.0,8.37,0.49,6.0,0.58,7.71,-46.32,1.7,2025-09-01
PETZ3,PETZ ON NM,Comércio,Produtos Diversos,6.4,10.406,313,228,541,3.97,28472900.0,-113.6,1.09,7.3,-0.03,0.25,-13.13,-0.5,2025-09-01
